objID,run,ra,dec,rerun,camcol,field,z,zErr,template_photo_z,template_photo_zErr,bin
1237651539261063466,1412,238.850291542039,55.4321692720573,301,4,351,0.212019,3.56905e-05,0.244785,0.024628,1
1237651537641013517,1412,199.102213728884,65.8417679000172,301,1,207,0.6325663,0.0001785839,0.565847,0.033107,5
1237651538171265539,1412,162.057940922395,65.2951583067007,301,2,106,0.5104708,0.0001372157,0.474742,0.027425,4
1237648720158393010,756,183.194032420461,-0.93461737215297,301,1,450,0.4414649,9.620203e-05,0.442998,0.036681,3
1237651251483705804,1345,125.952580856597,48.1708661857761,301,4,129,0.5902706,0.0001028404,0.48133,0.032022,4
1237651540336050735,1412,242.962714660563,53.7610757207237,301,6,370,0.4456385,7.393694e-05,0.440637,0.022755,3
1237651250949456266,1345,132.434895807659,52.4292008056225,301,3,169,0.6622266,0.000162707,0.53557,0.110683,5
1237651252018872697,1345,121.818346860651,45.3853911382071,301,5,103,0.2454706,2.736059e-05,0.416434,0.061782,1
1237651252585038364,1345,238.079681245956,53.8850744956518,301,6,550,0.4603772,0.0001122703,0.449051,0.03056,3
1237650804265320834,1241,146.410045182483,-2.19244448178746,301,3,54,0.6069323,0.0002124994,0.71292,0.052471,5
1237651735236510359,1458,217.53454543376,1.19598002681389,301,1,619,0.4753076,0.0001188054,0.512923,0.035674,3
1237648702985274030,752,226.343352847835,-1.09176006755146,301,1,553,0.5261268,0.0001381671,0.533417,0.030739,4
1237651250970493604,1345,224.315362740329,58.7887469953831,301,3,490,0.5608974,0.00019459,0.507885,0.031512,4
1237648704054362355,752,215.745511550293,-0.377761384259062,301,3,482,0.1926141,8.568631e-05,0.598872,0.097696,0
1237648702973084336,752,198.549980185398,-1.09298047819666,301,1,367,0.4831613,0.0001162762,0.468716,0.027362,3
1237651272964571626,1350,138.145637971419,58.8804956195575,301,4,221,0.5760579,0.000196909,0.509259,0.076513,4
1237648720157672231,756,181.553501773304,-0.915542861429146,301,1,439,0.5876269,0.0001977887,0.516785,0.031816,4
1237651251509919818,1345,233.308340450294,55.5059276658154,301,4,529,0.2066763,3.90333e-05,0.226606,0.02055,1
1237650795143430534,1239,139.722272513932,-0.665661058260919,301,2,129,0.6940566,3.428133e-05,0.551891,0.103671,5
1237651752415134396,1462,215.272131080816,1.02432928421463,301,1,600,0.5596095,0.0001223678,0.553087,0.046356,4
1237650803727663619,1241,144.646943362104,-2.71856122936755,301,2,42,0.3973479,6.079352e-05,0.456187,0.021722,2
